"b_medium","b_low","b_indep","b_high","b_labelbio","b_labelpleinair","b_nolabel","b_calibreL","b_calibreM","mu_lnorm","sigma_lnorm","c_high","c_low_middle","c_high_middle","c_low","b_nosale","b_control","logLike"
0.722679939652603,0.0451270135962553,0.119532063022732,1.51443834834294,1.37542005384513,1.17102251344413,0,0.357216353011882,0,3.13602993328779,-0.387671914385978,0.206604831455061,0,-0.14788327215961,0.0654440519167206,0,-0.328241659296979,-9337.17835998987
0.741933405812995,0.0353716032452868,0.262682635123161,1.53173631738497,1.32223787589023,1.16593160647357,0,0.315078001849421,0,3.16351922120348,-0.383305696272434,0.150725996537964,0,-0.1592327562863,0.0222825351746496,0,-0.328368276006534,-9335.393857893
0.688677663024405,0.0453382328154315,0.2332035444168,1.46262971978467,1.30366078059608,1.21034344786992,0,0.369498013042305,0,3.15663622175015,-0.391523100061505,0.0908122595007562,0,-0.158595007085825,0.011488531404553,0,-0.328720785165196,-9328.72731209531
0.463770794838537,-0.0861544607137667,0.0214294596956725,1.28247664978414,1.47582684767315,1.13343136081194,0,0.294180575969914,0,3.14445287060619,-0.33381144408645,-0.169012913697687,0,-0.194623491840382,0.0832590470400601,0,-0.330286879064235,-9300.37584734233
0.443382937132254,-0.0978243990982153,0.0256584114723251,1.26500014948463,1.40376854257106,1.08192427945212,0,0.271828520894791,0,3.0700281165158,-0.334419283492159,-0.121711291671233,0,-0.160430907328028,0.208464994430593,0,-0.330465270397984,-9297.4385637665
0.443751283116103,-0.097073328005983,0.023427019296776,1.26696903936896,1.40136040425891,1.07762934217204,0,0.269989933334249,0,3.06482126048492,-0.334427675727333,-0.121774708310208,0,-0.148350302948658,0.204707092807977,0,-0.330465564441668,-9297.30062533518
0.410365611645143,-0.138647733658084,0.0261938179663423,1.22997007180869,1.73792542264317,1.18404157966637,0,0.308211800046595,0,3.05458616886704,-0.271271777282052,-0.467519486947127,0,-0.235308691873737,0.149837628487215,0,-0.32666320969954,-9295.24091647741
0.528002921643765,-0.0728040928612131,0.121840198522862,1.31691629359323,1.68380525972887,1.19149082252536,0,0.318470246035907,0,3.07375463644398,-0.35394630026599,-0.288003713685427,0,-0.188733608483786,0.160096031204396,0,-0.323012626152206,-9289.34880326968
0.52962892848893,-0.0604558931871533,0.117713688563719,1.30972242795839,1.64906561608701,1.19604220665501,0,0.320970699101994,0,3.07615456222838,-0.341384682872366,-0.300517236514794,0,-0.16854859438472,0.186000824953694,0,-0.32200742117667,-9288.0586348278
0.492801231424384,-0.0784966300954445,0.0641725394394146,1.26871484477354,1.58332313777809,1.17021527437326,0,0.309638418663183,0,3.06813670531703,-0.315295523963693,-0.353095147326832,0,-0.179640661701187,0.183952902153083,0,-0.31539788722915,-9287.09037739828
0.51944458634927,-0.0601202566684087,0.107044128247673,1.30110934246289,1.6344183109806,1.19447347992497,0,0.317832415524594,0,3.07510270668068,-0.314556463269004,-0.352821494602435,0,-0.1727179398599,0.191746114195135,0,-0.31044109677474,-9287.03886789934
0.519231170312765,-0.0618583334846326,0.10409077430948,1.29891643758196,1.63050347657795,1.19218386695015,0,0.316616219480337,0,3.07459800436184,-0.315652138345497,-0.347980644653561,0,-0.177782753517035,0.184043192021084,0,-0.305158346953033,-9287.02527571779
0.521896001104903,-0.0605820611223804,0.106625712028786,1.30078317089318,1.63194075641526,1.19324268083453,0,0.316816287567433,0,3.07563174118857,-0.314270055716773,-0.348181786006664,0,-0.177181711675183,0.18431076822507,0,-0.299540182846605,-9287.02205193758
0.525365122900107,-0.0585651803366863,0.11094920823872,1.30400397353604,1.63550201993442,1.19537480713322,0,0.317402417519574,0,3.07661812280915,-0.313591676562658,-0.346932929403652,0,-0.176691222904183,0.184390244618272,0,-0.290685808208111,-9287.02132444956
0.526165260635808,-0.0581127589302255,0.111978005381102,1.30474692128723,1.63645393962391,1.19593511947251,0,0.317564728422811,0,3.07681099162106,-0.31349226918892,-0.34649098177079,0,-0.176697109669813,0.184224165622774,0,-0.283171354266579,-9287.02125505051
1,-1,1,1,1,1,0,1,0,1,-1,-1,0,-1,1,0,-1,-9287.02125505051
1,-1,1,1,1,1,0,1,0,1,-1,-1,0,-1,1,0,-1,-9287.02125505051
0.999999602325261,-0.999999979045242,0.999999998486601,1.00000009883661,1.00000004156027,0.999999791267328,0,0.999999907100573,0,1.00000436382834,-1.00000096042641,-1.00000005133916,0,-0.999999903840944,1.00000005553011,0,-0.999999901396222,-9287.02125488765
